,collection_date,lineage,abundance
0,2023-11-15,XBB.1.5.X,0.49410842
1,2024-05-03,XBB.1.5.X,0.0
2,2024-09-04,XBB.1.5.X,1.7599999999999999e-06
3,2021-12-21,XBB.1.5.X,0.0
4,2023-08-23,XBB.1.5.X,0.6258414000000005
5,2023-09-21,XBB.1.5.X,0.21726407000000003
6,2024-04-19,XBB.1.5.X,2.1e-07
7,2022-10-10,XBB.1.5.X,0.0
8,2024-06-19,XBB.1.5.X,3.1e-07
9,2024-05-30,XBB.1.5.X,0.0
10,2022-10-18,XBB.1.5.X,0.0
11,2023-04-25,XBB.1.5.X,0.89807329
12,2022-11-23,XBB.1.5.X,0.0
13,2024-05-28,XBB.1.5.X,0.0
14,2024-05-07,XBB.1.5.X,0.0
15,2025-02-03,XBB.1.5.X,0.0
16,2024-12-03,XBB.1.5.X,0.0
17,2023-10-18,XBB.1.5.X,0.04152165000000001
18,2024-12-02,XBB.1.5.X,0.0
19,2022-04-26,XBB.1.5.X,0.0
20,2023-10-06,XBB.1.5.X,0.18395035
21,2024-10-22,XBB.1.5.X,0.0
22,2025-01-07,XBB.1.5.X,0.0
23,2022-08-23,XBB.1.5.X,0.0
24,2023-10-11,XBB.1.5.X,0.01591146
25,2024-02-20,XBB.1.5.X,2.8e-07
26,2024-02-02,XBB.1.5.X,0.0
27,2024-08-14,XBB.1.5.X,0.0
28,2024-11-14,XBB.1.5.X,0.0
29,2024-05-16,XBB.1.5.X,5.9e-07
30,2024-11-12,XBB.1.5.X,0.0
31,2024-02-29,XBB.1.5.X,0.0
32,2024-07-24,XBB.1.5.X,0.0
33,2023-05-09,XBB.1.5.X,0.49461681999999996
34,2022-12-05,XBB.1.5.X,0.0
35,2024-04-30,XBB.1.5.X,0.0
36,2024-03-20,XBB.1.5.X,9.6e-07
37,2023-10-26,XBB.1.5.X,0.0
38,2022-04-19,XBB.1.5.X,0.0
39,2024-08-07,XBB.1.5.X,6.5e-07
40,2023-10-17,XBB.1.5.X,0.16186010999999997
41,2022-05-31,XBB.1.5.X,0.0
42,2021-12-14,XBB.1.5.X,0.0
43,2025-01-14,XBB.1.5.X,0.0
44,2024-05-20,XBB.1.5.X,0.0
45,2023-10-23,XBB.1.5.X,0.0
46,2024-12-06,XBB.1.5.X,0.0
47,2023-11-03,XBB.1.5.X,0.11121944
48,2024-04-17,XBB.1.5.X,0.0
49,2025-01-22,XBB.1.5.X,9.8e-07
50,2023-05-16,XBB.1.5.X,0.7859696099999997
51,2022-08-11,XBB.1.5.X,0.0
52,2022-09-27,XBB.1.5.X,0.0
53,2024-10-22,XBB.1.5.X,0.0
54,2024-04-18,XBB.1.5.X,0.0
55,2023-05-23,XBB.1.5.X,0.0
56,2024-01-30,XBB.1.5.X,0.0
57,2024-08-06,XBB.1.5.X,0.0
58,2023-03-21,XBB.1.5.X,0.99990936
59,2024-12-04,XBB.1.5.X,0.0
60,2024-08-21,XBB.1.5.X,0.0
61,2023-11-14,XBB.1.5.X,0.0
62,2023-08-31,XBB.1.5.X,4.5e-07
63,2022-10-11,XBB.1.5.X,2.881e-05
64,2024-05-27,XBB.1.5.X,2.4900000000000007e-06
65,2024-08-22,XBB.1.5.X,0.0
66,2024-04-18,XBB.1.5.X,0.0
67,2024-07-08,XBB.1.5.X,0.0
68,2024-11-05,XBB.1.5.X,8.1e-07
69,2024-08-05,XBB.1.5.X,0.0
70,2024-09-04,XBB.1.5.X,0.0
71,2023-11-15,XBB.1.5.X,0.0
72,2024-02-13,XBB.1.5.X,0.0
73,2024-11-12,XBB.1.5.X,0.0
74,2025-02-04,XBB.1.5.X,0.0
75,2024-07-23,XBB.1.5.X,0.0
76,2023-10-11,XBB.1.5.X,0.17928605999999997
77,2024-07-16,XBB.1.5.X,0.0
78,2022-04-26,XBB.1.5.X,0.0
79,2022-08-23,XBB.1.5.X,0.0
80,2023-04-25,XBB.1.5.X,0.9442165900000004
81,2022-10-19,XBB.1.5.X,0.0
82,2024-06-26,XBB.1.5.X,1e-06
83,2024-08-23,XBB.1.5.X,0.0
